,Name,Category of registration,Revenue,Nb employees,GUO Name,GUO Revenue,GUO Nb employees,BvD ID,Degree
442,DemocracyNext,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
443,Groene Kring,Trade unions and professional associations,,,,,,NL09207607,1.0
444,Kemira Oyj,Companies and groups,3815226.36950016,4902.0,KEMIRA OYJ,3815.0,4902.0,FI01098230,1.0
445,Stichting Het Nederlands Kanker Instituut - Antoni van Leeuwenhoek ziekenhuis,Think tanks and research institutions,102112.303311825,657.0,STICHTING HET NEDERLANDS KANKER INSTITUUT-ANTONI VAN LEEUWENHOEK ZIEKENHUIS,102.0,657.0,NL40530817,2.0
446,Patria Oyj,Companies and groups,664774.130049348,3213.0,SUOMEN VALTIO/ALV,0.0,2.0,FI23341596,2.0
447,Mastercard Europe,Companies and groups,7155206.93841755,500.0,MASTERCARD,21705.0,29900.0,BE0448038446,32.0
448,ALDI Einkauf SE & Co. oHG (ALDI Nord),Companies and groups,567704.857288206,1974.0,MARKUS-STIFTUNG,,,DE5110017858,1.0
449,"Buildings Performance Institute Europe, BPIE ASBL",Think tanks and research institutions,2870.70879206836,15.0,,,,BE0823225340,5.0
450,Stichting RePlanet Nederland,"Non-governmental organisations, platforms and networks and similar",,,,,,NL71342397,1.0
451,Impossible Foods,Companies and groups,530000.0,1350.0,IMPOSSIBLE FOODS INC.,530.0,1350.0,US258985736L,1.0
452,EPRI Europe DAC,Think tanks and research institutions,3425.23589964151,18.0,PROCTER & GAMBLE CO,82006.0,107000.0,IE643773,2.0
453,Ridens,Professional consultancies,,1.0,MR RONALD JOHANNES JOZEF REIJERS,,,NL60283882,2.0
454,European Federation of Agencies and Regions for Energy and the Environment,,,,,,,,5.0
455,Heetch,Companies and groups,7658.46563160753,,HEETCH,8.0,,FR794693960,4.0
456,Szakszervezetek Együttműködési Fóruma,Trade unions and professional associations,270.964976891875,,,,,HU19672816,2.0
457,Finnish Information Security Cluster – Kyberala ry,Trade and business associations,106.659948825836,2.0,FINNISH INFORMATION SECURITY CLUSTER - KYBERALA RY,0.0,2.0,FI25703095,1.0
458,Metal Packaging Europe External Affairs ASBL,Trade and business associations,,1.0,,,,BE0817075738,1.0
459,Nielsen Media Belgium,Companies and groups,,49.0,MR ELLIOT SINGER PAUL,,,BE0744660090,1.0
460,Humane Society International/Europe,"Non-governmental organisations, platforms and networks and similar",,1.0,,,,BE0562718279,8.0
461,Deutscher Bundesjugendring,"Non-governmental organisations, platforms and networks and similar",,27.0,DEUTSCHER BUNDESJUGENDRING (DBJR) E.V.,,27.0,DE2011577247,2.0
462,ifok GmbH,Professional consultancies,,210.0,FREDERICK J. ISEMAN TRUST NO. III,,,DE6050112185,1.0
463,International Chemical Secretariat,"Non-governmental organisations, platforms and networks and similar",,,,,,,17.0
464,Riverwatch,"Non-governmental organisations, platforms and networks and similar",17500.0,10.0,,,,US127879641L,4.0
465,Stiftung KlimaWirtschaft,"Non-governmental organisations, platforms and networks and similar",,,,,,DELEI1230100,6.0
466,EBAN ASBL - The European Business Angels Network,Trade and business associations,,,,,,BE0474621394,2.0
467,Vereniging VNO-NCW,Trade and business associations,,195.0,VERENIGING VNO-NCW,,195.0,NL40413440,22.0
468,APPLiA (Home Appliance Europe),Trade and business associations,,13.0,,,,BE0460033584,7.0
469,"The European Region of the International Lesbian, Gay, Bisexual, Trans and Intersex Association","Non-governmental organisations, platforms and networks and similar",,,,,,,20.0
470,clickworker GmbH,,,24.0,WECKEN & CIE. KG,,,DE5110367972,2.0
471,Culture Viande,Trade and business associations,,, ,,,FR892428723,1.0
472,Carnegie Europe Foundation,Think tanks and research institutions,,1.0,,,,BE0687653388,1.0
473,EUROPEAN LOGISTICS PLATFORM,,,,,,,,1.0
474,AbbVie,Companies and groups,58054000.0,50000.0,ABBVIE INC.,58054.0,50000.0,US320375147,2.0
475,DSRC Interest Group,Trade and business associations,,0.0,,,,SE8025320212,1.0
476,ABN AMRO Bank N.V.,Companies and groups,8340807.99818039,20038.0,THE STATE OF THE NETHERLANDS,,,NL34334259,10.0
477,HKScan Finland Oy,Companies and groups,896319.013156891,2403.0,LSO OSUUSKUNTA,1964.0,5391.0,FI19514589,2.0
478,European Association of Institutions in Higher Education,Academic institutions,,,,,,,5.0
479,European PVC Window Profiles and related Building Products Association,Trade and business associations,,,,,,BE0848567579,2.0
480,HUMANA LT,Companies and groups,62823.6921965462,1018.0,VSI HUMANA PEOPLE TO PEOPLE BALTIC,5.0,3.0,LT304936925,1.0
481,MVP Management GmbH,,1320.97595404911,8.0,MVP MANAGEMENT GMBH,1.0,8.0,DE8330323635,1.0
482,Association Europe Finances Regulations,,,, ,,,FR508243565,1.0
483,The Alliance for Safe Online Pharmacy in the EU,"Non-governmental organisations, platforms and networks and similar",,2.0,,,,GB08876755,2.0
484,Lloyds Banking Group plc,Companies and groups,21974614.3962145,63372.0,LLOYDS BANKING GROUP PLC,21975.0,59354.0,GBSC095000,2.0
485,Securities Industry and Financial Markets Association,,8140.0,9.0,,,,US167209239L,1.0
486,Conference of European Schools for Advanced Engineering Education and Research,"Non-governmental organisations, platforms and networks and similar",,4.0,,,,BE0441894980,3.0
487,eBay EU liaison office,Companies and groups,,,,,,,12.0
488,UNI MEI Global Union,,,,,,,,4.0
489,International Federation of Air Traffic Controllers Associations,Trade unions and professional associations,,75.0,,,,CHCHE104072080,1.0
490,OD Communications,Self-employed individuals,,,,,,,1.0
491,Air Products,Companies and groups,499970.699794769,1503.0,AIR PRODUCTS & CHEMICALS INC,12699.0,21900.0,GB00103881,8.0
492,trivago N.V.,Companies and groups,570634.992616177,709.0,"EXPEDIA GROUP, INC.",11667.0,16500.0,NL67222927,6.0
493,Corteva Agriscience International SARL,Companies and groups,,15.0,"CORTEVA, INC",17455.0,21000.0,CHCHE109747063,8.0
494,Federation of European Publishers,Trade and business associations,,,,,,,1.0
495,Mediterranean Gas SA,Companies and groups,0.0,0.0,,,,GR156246244000,2.0
496,International Council on Clean Transportation,Think tanks and research institutions,3660.0,55.0,INTERNATIONAL COUNCIL ON CLEAN TRANSPORTATION INC.,4.0,55.0,US169365225L,3.0
497,Robert Bosch Stiftung GmbH,,409572.829249732,3523.0,R O B E R T B O S C H S T I F T U N G GESELLSCHAFT MIT BESCHRÄNKTER HAFTUNG,410.0,3523.0,DE7330000662,1.0
498,Finnish Institute of International Affairs,Think tanks and research institutions,,,,,,,1.0
499,European Cyclists' Federation,"Non-governmental organisations, platforms and networks and similar",,26.0,,,,BE0460439895,4.0
500,Confederação da Agricultura e Pecuária do Brasil,Trade and business associations,2491.80570244789,151.0,,,,BR33582750000178,1.0
501,OCEANA,"Non-governmental organisations, platforms and networks and similar",20400.0,154.0,,,,US163795299L,42.0
502,Organización Interprofesional Agroalimentaria del Ovino y el Caprino,Trade unions and professional associations,,,,,,ESG83076810,1.0
503,ENTE NAZIONALE RISI,"Other organisations, public or mixed entities",,,,,,IT03036460156,1.0
504,Proximus SA de droit public,Companies and groups,,,,,,,3.0
505,"Instituto de Engenharia de Sistemas e Computadores, Tecnologia e Ciência",Think tanks and research institutions,,,,,,,1.0
506,The Born Free Foundation,"Non-governmental organisations, platforms and networks and similar",8057.74193954468,109.0,THE BORN FREE FOUNDATION,8.0,109.0,GB03603432,2.0
507,Aliénor,Professional consultancies,23681.7527576351,42.0,CLEMENT HASQUENOPH,,,FR480106236,5.0
508,EUROCHAMBRES – Association of European Chambers of Commerce and Industry,Trade and business associations,5061.8795839709,28.0,,,,BE0417324583,31.0
509,European Endowment for Democracy,"Non-governmental organisations, platforms and networks and similar",35656.3519962609,47.0,,,,BE0501635104,4.0
510,OMV Petrom SA,Companies and groups,13497883.378327,7837.0,OMV AKTIENGESELLSCHAFT,67065.0,22308.0,RO1590082,2.0
511,Confederation of Swedish Enterprise,Trade and business associations,,,,,,SELEI139819,26.0
512,Citizens Association Institute for Human Rights,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
513,Mirakl,Companies and groups,42000.0,20.0,,,,US330782750L,2.0
514,StaalindustrieVerbond - Belgian steel federation,Trade unions and professional associations,,,,,,,3.0
515,Drugs for Neglected Diseases initiative,"Non-governmental organisations, platforms and networks and similar",3833.54723453522,3.0,,,,BR08766603000100,2.0
516,European Social Insurance Platform AISBL,"Non-governmental organisations, platforms and networks and similar",,1.0,,,,BE0808072950,5.0
517,Market Advisory Council / Conseil Consultatif pour les Marchés,"Non-governmental organisations, platforms and networks and similar",,,,,,,3.0
518,Danfoss A/S,Companies and groups,10939044.3515776,41324.0,BITTEN OG MADS CLAUSENS FOND,10967.0,42200.0,DK20165715,3.0
519,"The Institute of International and European Affairs, Brussels",Think tanks and research institutions,,,,,,BE0563580985,8.0
520,Common Consultancy,,,,,,,,1.0
521,IETM international network for contemporary performing arts,,,,,,,,1.0
522,"The Project Syndicate, ops",,333.837792277336,15.0,,,,CZ28249429,2.0
523,PwCIL,Companies and groups,,,,,,,12.0
524,Coöperatie Koninklijke Cosun U.A.,Companies and groups,3454715.74246883,4558.0,COÖPERATIE KONINKLIJKE COSUN U.A.,3455.0,4558.0,NL20028699,2.0
525,Interface Nederland,,,93.0,INTERFACE INC,1298.0,3671.0,NL09028332,1.0
526,Polska Izba Budownictwa,,26.8472908884287,,,,,PL006218645,4.0
527,Global Network Initiative,"Non-governmental organisations, platforms and networks and similar",840.0,5.0,,,,US293263121L,1.0
528,International Centre for Migration Policy Development,"Other organisations, public or mixed entities",,,,,,,10.0
529,Cerberus European Capital Advisors LLP,Companies and groups,58705.5739659657,36.0,MR FEINBERG STEPHEN,,,GBOC315176,1.0
530,Young European Research Universities Network,Academic institutions,,1.0,,,,BE0736412320,1.0
531,Royal Netherlands Football Association,"Non-governmental organisations, platforms and networks and similar",1341.74153208733,36.0,,,,BR19990547000100,3.0
532,Bundesverband Öffentlicher Banken Deutschlands eV,Trade and business associations,,100.0,BUNDESVERBAND ÖFFENTLICHER BANKEN DEUTSCHLANDS E.V.  (VÖB),,100.0,DE2011141023,7.0
533,PowerShift - Verein fuer eine oekologisch-solidarische Energie- & Weltwirtschaft e.V.,"Non-governmental organisations, platforms and networks and similar",,9.0,,,,DE2012569054,1.0
534,International Agriculture Campaign Fridays For Future,,,,,,,,1.0
535,Europäische Akademie für Informationsfreiheit und Datenschutz,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
536,Medline International B.V.,,861737.611996479,61.0,"STELLAR HOLDCO, LLC",,,NL59171960,1.0
537,FTTH Council Europe ASBL,Trade and business associations,,1.0,FTTH COUNCIL EUROPE,,1.0,BE0867660545,1.0
538,Deutsche Gesellschaft für Auswärtige Politik e.V.,Think tanks and research institutions,,92.0,,,,DE2011472839,9.0
539,Norwegian University of Science and Technology,Academic institutions,3833.54723453522,3.0,,,,BR07036348000188,2.0
540,The Premier League,Companies and groups,137.963085919688,,,,,MA108573-45,1.0
541,ResMed,Companies and groups,4222993.0,10140.0,RESMED INC,4223.0,10140.0,US980152841,2.0
542,Ympäristömerkintä Suomi Oy,"Other organisations, public or mixed entities",2137.46537446976,18.0,SUOMEN VALTIO/ALV,0.0,2.0,FI29011395,1.0
543,European Investors-VEB,"Non-governmental organisations, platforms and networks and similar",,30.0,VERENIGING VAN EFFECTENBEZITTERS,,30.0,NL40408053,2.0
544,European Federation of National Associations of Water Services,Trade and business associations,,6.0,,,,BE0416415357,3.0
545,Union des Professionnels de la Location Touristique,Trade unions and professional associations,,, ,,,FR894434448,1.0
546,Confindustria Toscana,Trade and business associations,,,,,,IT80003010487,2.0
547,CIVICUS: World Alliance for Citizen Participation,"Non-governmental organisations, platforms and networks and similar",1759.71141457558,45.0,PARTNERS,,,ZA200201841708,1.0
548,Aruba S.p.A.,Companies and groups,260554.255989194,16.0,ARUBA S.P.A.,261.0,16.0,IT04552920482,4.0
549,EU National Institutes for Culture,"Other organisations, public or mixed entities",,8.0,,,,BE0473098395,1.0
550,INCO.ORG,,,,INCO ORG,,,FR822879904,2.0
551,SANOFI,Companies and groups,49842194.0863132,91573.0,SANOFI,49842.0,91573.0,FR395030844,10.0
552,European Container Glass Federation,Trade and business associations,,,,,,,6.0
553,B'nai B'rith Europe,"Non-governmental organisations, platforms and networks and similar",,,,,,BE0733537655,1.0
554,Sky Group,Companies and groups,1725.09625554085,151.0,MR ROBSON MARCELO TOLARDO,,,BR12049403000104,9.0
555,European Federation for Welding Joining and Cutting AISBL,Trade and business associations,,,,,,BE0451889445,4.0
556,RPP Group,Professional consultancies,,17.0,RPP GROUP,,17.0,BE0477819426,2.0
557,"Cheniere Energy, Inc.",Companies and groups,33428000.0,1551.0,CHENIERE ENERGY INC,33428.0,1551.0,US954352386,2.0
558,Federation of European Tank Storage Associations,Trade and business associations,,,,,,BE0451687230,2.0
559,FEDERATION DES EXPORTATEURS DE VINS ET SPIRITUEUX DE FRANCE,Trade unions and professional associations,,,,,,,1.0
560,European Democrat Students,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
561,Vlaams - Europees verbindingsagentschap,"Non-governmental organisations, platforms and networks and similar",1453.80390068233,10.0,,,,BE0880913715,1.0
562,"OpenAI OpCo, LLC",Companies and groups,,,,,,US379128314L,6.0
563,"Polski Związek Hodowców i Producentów Trzody Chlewnej ""POLSUS""",Trade unions and professional associations,1274.70583257079,,POLSKI ZWIAZEK HODOWCOW I PRODUCENTOW TRZODY CHLEWNEJ POLSUS,1.0,,PL000872680,2.0
564,European Association of Payment Service Providers for Merchants,Trade and business associations,,5.0,,,,DE8171137230,1.0
565,Cisco Systems Inc.,Companies and groups,56998000.0,84900.0,CISCO SYSTEMS INC,56998.0,84900.0,US770059951,21.0
566,Thüga Aktiengesellschaft,Companies and groups,39301.2306690216,224.0,THÜGA HOLDING GMBH & CO. KGAA,47838.0,920.0,DE8170005525,2.0
567,FSC International Center GmbH (IC),"Non-governmental organisations, platforms and networks and similar",,28.0,FOREST STEWARDSHIP COUNCIL AC,,8.0,DE5030410236,4.0
568,International Information System Security Certification Consortium,Trade unions and professional associations,69000.0,23.0,"INTERNATIONAL INFORMATION SYSTEM SECURITY CERTIFICATION CONSORTIUM, INC.",69.0,23.0,US253167674L,3.0
569,Society of Environmental Toxicology and Chemistry Europe,"Non-governmental organisations, platforms and networks and similar",1870.27260326564,5.0,,,,BE0861935367,1.0
570,Global Business Travel Association,Trade and business associations,14900.0,67.0,,,,US241632917L,4.0
571,SIEMPRE,Professional consultancies,2247.86300717866,,,,,CO170003969030,1.0
572,Land- en Tuinbouw Organisatie Nederland,Trade and business associations,,68.0,LAND- EN TUINBOUWORGANISATIE NEDERLAND,,68.0,NL40413400,4.0
573,"Fertiberia, S.A.",Companies and groups,894732.723491192,851.0,CAREZO TRUST,,,ESA28165298,3.0
574,Blockchain.com,Companies and groups,5862548.2459993,,"BLOCKCHAIN.COM GROUP HOLDINGS, INC.",,,SG201817211W,1.0
575,Initiative for Science in Europe,"Non-governmental organisations, platforms and networks and similar",,, ,,,FR837814730,1.0
576,AIM - European Brands Association,Trade and business associations,,,,,,,11.0
577,TRANSATEL,Companies and groups,53202.9343124058,162.0,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,98413.0,338651.0,FR432786432,2.0
578,Institute of International and European Affairs,Think tanks and research institutions,2309.94172487497,29.0,,,,IE171807,1.0
579,Transdev Group,Companies and groups,8220282.25600719,74928.0,GOVERNMENT OF FRANCE,,,FR521477851,8.0
580,Elering AS,Companies and groups,424635.654864907,262.0,KLIIMAMINISTEERIUM,,,EE11022625,4.0
581,European Public Real Estate Association,Trade and business associations,,,EUROPEAN PUBLIC REAL ESTATE ASSOCIATION,,,BE0811738560,2.0
582,Land Life Company B.V.,,,30.0,LAND LIFE COMPANY B.V.,,30.0,NL59182385,2.0
583,Stichting Health Action International,"Non-governmental organisations, platforms and networks and similar",,4.0,,,,NL41207580,2.0
584,Topsector Logistiek,"Other organisations, public or mixed entities",,,,,,,1.0
585,ORGANIZACION NACIONAL DE CIEGOS DE ESPAÑA,"Non-governmental organisations, platforms and networks and similar",2548024.5029068,22068.0,ORGANIZACION NACIONAL DE CIEGOS ESPAÑOLES,2548.0,22068.0,ESQ2866004A,10.0
586,World Resources Institute,Think tanks and research institutions,253000.0,400.0,WORLD RESOURCES INSTITUTE,253.0,400.0,US131289268L,8.0
587,Inline Policy Srl,Professional consultancies,,5.0,MR SHOMIK PANDA,,,BE0687711093,1.0
588,Hellenic Telecommunications Organization S.A.,Companies and groups,3692994.06814575,11020.0,DEUTSCHE TELEKOM AG,126539.0,206759.0,GR001037501000,1.0
589,Bundesverband der Deutschen Luftverkehrswirtschaft e. V.,Trade and business associations,,20.0,,,,DE2012219469,2.0
590,AMUNDI AM,Companies and groups,1692967.5039345,,SAS RUE LA BOETIE,0.0,8.0,FR437574452,10.0
591,Ukrainian World Congress,"Non-governmental organisations, platforms and networks and similar",,,,,,CA274267877L,1.0
592,Österreichischer Sparkassenverband,Trade and business associations,,15.0,ÖSTERREICHISCHER SPARKASSENVERBAND,,15.0,AT9110228718,4.0
593,European Utilities Telecom Council,Trade and business associations,,,,,,BE0759718747,1.0
594,Consumer Choice Center,,270.0,6.0,,,,US327901427L,1.0
595,ALAN asbl-Maladies Rares Luxembourg,"Non-governmental organisations, platforms and networks and similar",,,,,,LULF2242,2.0
596,Grayling,Professional consultancies,5128.81106328964,43.0,"CD&R ULYSSES, L.P.",,,PL140683513,6.0
597,friedrich30 GmbH & Co. KG,Professional consultancies,,6.0,,,,DE6190276265,2.0
598,Global Infrastructure Investor Association,Trade and business associations,,,,,,GB09668904,5.0
599,European Partnership for Energy and the Environment,Trade and business associations,,1.0,,,,BE0477501306,5.0
600,European Movement International,"Non-governmental organisations, platforms and networks and similar",,,,,,GB01320292,11.0
601,Viewpoint Group,Professional consultancies,,498.0,SEC NEWGATE S.P.A.,101.0,40.0,HK0005981021,1.0
602,Motor Oil (Hellas) Corinth Refineries S.A,Companies and groups,17759115.0647897,2780.0,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A.,17759.0,2780.0,GR000272801000,1.0
603,DKV EURO SERVICE,Companies and groups,3990524.31844175,552.0,MRS NICOLE FISCHER,,,DE5050000348,1.0
604,Skyscanner Limited,Companies and groups,153177.141381502,749.0,TRIP.COM GROUP LIMITED,2868.0,32202.0,GB04217916,4.0
605,Mattoni 1873,,218964.427606434,,TRENTOP INVESTMENTS B.V.,,,CZ14706725,1.0
606,Statnett SF,Companies and groups,2331947.32351601,1635.0,NORMARITIM A/S,,,NO962986633,1.0
607,Eutelsat,Companies and groups,1198659.64460373,1093.0,EUTELSAT COMMUNICATIONS,1631.0,1067.0,FR422551176,9.0
608,IBM Research GmbH,Companies and groups,,35.0,INTERNATIONAL BUSINESS MACHINES CORP,60530.0,311300.0,CHCHE110354546,1.0
609,"OBRAS ESPECIALES EDIFICACION E INFRAESTRUCTURAS, SAU",Companies and groups,116768.112176061,241.0,GRUPO CORPORATIVO OBECORP SL,123.0,322.0,ESA31083009,2.0
610,GFBIochemicals,Companies and groups,0.0,,,,,MTC65910,1.0
611,PUBLIC JOINT STOCK COMPANY JOINT STOCK BANK UKRGASBANK,Companies and groups,205288.601281649,,UKRAINE,,,UA23697280,2.0
612,EuroHealthNet,"Non-governmental organisations, platforms and networks and similar",,14.0,,,,BE0479553647,2.0
613,Unión Nacional de Cooperativas de Crédito,Trade and business associations,1207.9804982759,9.0,,,,ESF28900488,1.0
614,Global Enabling Sustainability Initiative,Trade and business associations,80.0,2.0,,,,US331574858L,1.0
615,Fundación Instituto Hermes para el empoderamiento de la ciudadanía,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
616,Gestore dei Mercati Energetici S.p.A.,"Other organisations, public or mixed entities",117905923.179153,114.0,REPUBBLICA ITALIANA,,,IT06208031002,1.0
617,Luchtverkeersleiding Nederland,"Other organisations, public or mixed entities",228338.24389565,1032.0,,,,NL34367959,1.0
618,Fédération Internationale des Véhicules Anciens,"Non-governmental organisations, platforms and networks and similar",,,,,,,2.0
619,Brussels Consulting Kft.,Professional consultancies,184.023634532932,2.0,DR. PAL BELENYESI,,,HU14023190,1.0
620,Organizzazione Interprofessionale delle carni prodotte in Italia INTERCARNEITALIA,,,,,,,,1.0
621,BASF SE,Companies and groups,94690569.3686008,111481.0,BASF SE,94691.0,111481.0,DE7150000030,28.0
622,Belron International Limited,Companies and groups,359546.20110333,208.0,D'IETEREN GROUP SA/NV,5091.0,,GB02442568,2.0
623,Bolt,Companies and groups,15900.0,10.0,BOLT INC,16.0,10.0,US148504666L,30.0
624,European University Continuing Education Network,"Non-governmental organisations, platforms and networks and similar",400.78649030745,5.0,,,,BE0451133241,3.0
625,European Parliamentary Financial Services Forum,"Non-governmental organisations, platforms and networks and similar",,,,,,BE0884395322,2.0
626,Elliott Advisors (UK) Ltd,Companies and groups,271938.861704623,124.0,ELLIOTT ADVISORS (UK) LIMITED,272.0,124.0,GB02989338,1.0
627,Excelerate Energy,Companies and groups,2472973.0,190.0,EXCELERATE ENERGY HOLDINGS LLC,,,US872878691,1.0
628,ionysis GmbH,,,8.0,,,,DE7010489579,2.0
629,SOPRA STERIA GROUP,,5460562.74008751,49690.0,SOPRA STERIA GROUP SA,5461.0,49690.0,FR326820065,2.0
630,IP2Innovate,Trade and business associations,,,,,,,3.0
631,Tillage Industry Ireland CLG,Trade and business associations,,,,,,IE649575,2.0
